,0,1
130,3540748423,"(254.46, 254.46, 254.46, 243.24, 0.0)"
131,0879380365,"(153.89, 153.89, 153.89, 127.6, 0.0)"
132,1926892348,"(0.83, 0.83, 0.83, 7.17, 0.0)"
133,0393084310,"(227.86, 227.86, 227.86, 187.92, 0.0)"
134,0313361037,"(0.87, 0.87, 0.87, 11.52, 0.0)"
135,1502430134,"(1.32, 1.32, 1.32, 47.27, 0.0)"
136,0618391134,"(0.51, 0.51, 0.51, 6.33, 0.0)"
137,0871568217,"(254.54, 254.54, 254.54, 241.99, 0.0)"
138,9971500264,"(254.02, 254.02, 254.02, 244.86, 0.0)"
139,0316737658,"(0.49, 0.49, 0.49, 44.2, 0.0)"
140,1483907252,"(70.0, 70.0, 70.0, 69.28, 0.0)"
141,1451654987,"(91.63, 91.63, 91.63, 59.15, 0.0)"
142,151690494X,"(253.56, 253.56, 253.56, 219.59, 0.0)"
143,1938265106,"(231.21, 231.21, 231.21, 132.56, 0.0)"
144,0977629929,"(9.76, 9.76, 9.76, 67.41, 0.0)"
145,1478300302,"(254.66, 254.66, 254.66, 250.07, 0.0)"
146,0943198135,"(74.57, 74.57, 74.57, 93.69, 0.0)"
147,0815514077,"(154.54, 154.54, 154.54, 143.26, 0.0)"
148,B00KX52ZBE,"(254.48, 254.48, 254.48, 242.75, 0.0)"
149,1469623919,"(251.01, 251.01, 251.01, 203.91, 0.0)"
150,151717032X,"(1.11, 1.11, 1.11, 18.17, 0.0)"
151,1111989761,"(44.76, 44.76, 44.76, 119.51, 0.0)"
152,1479274631,"(254.46, 254.46, 254.46, 243.53, 0.0)"
153,0714868809,"(253.94, 253.94, 253.94, 127.68, 0.0)"
154,0822340682,"(143.74, 143.74, 143.74, 153.25, 0.0)"
155,1783299711,"(254.4, 254.4, 254.4, 251.8, 0.0)"
156,0275979180,"(254.48, 254.48, 254.48, 248.48, 0.0)"
157,0275933474,"(254.46, 254.46, 254.46, 249.13, 0.0)"
158,1606063227,"(19.16, 19.16, 19.16, 64.43, 0.0)"
159,1858791618,"(254.02, 254.02, 254.02, 239.37, 0.0)"
160,1909414182,"(254.43, 254.43, 254.43, 239.07, 0.0)"
161,1854182862,"(254.47, 254.47, 254.47, 235.95, 0.0)"
162,1570184453,"(26.85, 26.85, 26.85, 105.93, 0.0)"
163,1898281467,"(252.69, 252.69, 252.69, 219.73, 0.0)"
164,3775718761,"(242.07, 242.07, 242.07, 215.91, 0.0)"
165,1860943489,"(254.43, 254.43, 254.43, 250.5, 0.0)"
166,0847675920,"(2.0, 2.0, 2.0, 2.0, 0.0)"
167,0674046927,"(238.77, 238.77, 238.77, 157.01, 0.0)"
168,1933693061,"(197.48, 197.48, 197.48, 147.58, 0.0)"
169,9056995928,"(0.74, 0.74, 0.74, 8.05, 0.0)"
170,B00KTI17Z0,"(254.87, 254.87, 254.87, 242.75, 0.0)"
171,148270045X,"(192.18, 192.18, 192.18, 180.88, 0.0)"
172,0692553002,"(254.16, 254.16, 254.16, 254.16, 0.0)"
173,0500517606,"(4.35, 4.35, 4.35, 66.79, 0.0)"
174,0880621486,"(254.3, 254.3, 254.3, 225.48, 0.0)"
175,1553958462,"(253.63, 253.63, 253.63, 222.84, 0.0)"
176,8393311500,"(1.53, 1.53, 1.53, 30.62, 0.0)"
177,4907511043,"(116.07, 116.07, 116.07, 113.52, 0.0)"
178,0976055406,"(251.57, 251.57, 251.57, 133.1, 0.0)"
179,0393731332,"(159.95, 159.95, 159.95, 158.99, 0.0)"
180,1410482251,"(251.3, 251.3, 251.3, 109.48, 0.0)"
181,0300179383,"(0.94, 1.05, 1.05, 35.35, 2.0)"
182,0816518459,"(47.65, 44.9, 44.9, 45.06, 2.0)"
183,9380028768,"(253.41, 253.43, 253.43, 142.36, 2.25)"
184,1584351608,"(245.76, 243.1, 243.1, 239.31, 2.25)"
185,0803272731,"(0.21, 0.24, 0.24, 6.1, 2.25)"
186,1590470397,"(36.78, 39.7, 39.7, 86.9, 2.5)"
187,0520256670,"(211.13, 213.65, 213.65, 145.7, 2.5)"
188,0143036327,"(248.26, 242.47, 242.47, 244.09, 2.5)"
189,0831130199,"(40.45, 45.34, 45.34, 47.23, 2.75)"
190,0300205996,"(64.34, 64.27, 64.27, 94.93, 2.75)"
191,1402423888,"(159.64, 164.32, 164.32, 161.92, 2.75)"
192,0199754292,"(2.71, 2.72, 2.72, 54.47, 3.0)"
193,1508580049,"(47.31, 46.81, 46.81, 79.02, 3.5)"
194,1419717790,"(214.23, 209.26, 209.26, 202.51, 3.5)"
195,038572179X,"(8.46, 2.79, 2.79, 81.64, 3.5)"
196,1137575247,"(167.45, 172.95, 172.95, 158.29, 3.75)"
197,2757203959,"(76.4, 68.33, 68.33, 106.86, 4.25)"
198,0810969351,"(230.88, 225.04, 225.04, 225.56, 4.5)"
